Timestamp,1. What is your gender?,2. What is your age range?,3. Which district are you from?,4. What is your occupation?,5. What is your approximate monthly household spending on products? (LKR),6. How often do you shop for products?,06. Does your cultural background influence what products you buy?,"Q07.  Clothing & Apparel
What do you mainly check before buying a clothing & apparel product?","Q08. Clothing & Apparel  
What is your main reason for buying clothing & apparel products?","Q09. Clothing & Apparel   
How much does emotional appeal (how it makes you feel) influence your purchase of clothing & apparel products?","Q10.   Beauty & Personal Care
What do you mainly check before buying a beauty & personal care product?","Q11.   Beauty & Personal Care
 What is your main reason for buying beauty & personal care products?","Q12.   Beauty & Personal Care
How much does emotional appeal (how it makes you feel) influence your purchase of beauty & personal care products?","Q13.  Electronics
What do you mainly check before buying a electronics product?","Q14.  Electronics 
What is your main reason for buying electronics products?","Q15.  Electronics
How much does emotional appeal (how it makes you feel) influence your purchase of electronics products?","Q16.   Grocery & Food
What do you mainly check before buying a grocery & food product?","Q17.    Grocery & Food
What is your main reason for buying grocery & food products?","Q18.    Grocery & Food  
  How much does emotional appeal (how it makes you feel) influence your purchase of grocery & food products?","Q19.  Baby Products 
  What do you mainly check before buying a baby products product?","Q20. Baby Products
What is your main reason for buying baby products products?","Q21.  Baby Products
How much does emotional appeal (how it makes you feel) influence your purchase of baby products products?","Q22.  Pet Products
What do you mainly check before buying a pet products product?","Q23.  Pet Products
What is your main reason for buying pet products products?","Q24.  Pet Products
How much does emotional appeal (how it makes you feel) influence your purchase of pet products products?","Q25.  Sports & Fitness
What do you mainly check before buying a sports & fitness product?","Q26.  Sports & Fitness
What is your main reason for buying sports & fitness products?","Q27.  Sports & Fitness
How much does emotional appeal (how it makes you feel) influence your purchase of sports & fitness products?"
5/16/2026 16:35,Female,18 – 24,Puttalam,Student,"Rs. 15,001 – Rs. 30,000",Several times a week,Somewhat,"Brand name or reputation, Appearance or design",It solves a specific practical problem,3,"Appearance or design, Customer reviews or ratings, Brand name or reputation",It makes me feel good or satisfied emotionally,3,"Product specifications or ingredients, Price and value for money",It solves a specific practical problem,3,"Product specifications or ingredients, Appearance or design",It makes me feel good or satisfied emotionally,2,"Customer reviews or ratings, Appearance or design",It is the best value for money,2,Product specifications or ingredients,It is the best value for money,3,"Price and value for money, Appearance or design, Brand name or reputation, Customer reviews or ratings, Product specifications or ingredients",It is the best value for money,4
6/2/2026 14:20,Male,35 – 44,Nuwara Eliya,Homemaker,"Less than Rs. 5,000",Several times a week,Somewhat,"Recommendation from someone I trust, Appearance or design, Product specifications or ingredients, Brand name or reputation",It is a trusted brand or widely recommended,4,"Recommendation from someone I trust, Brand name or reputation",It is a trusted brand or widely recommended,4,"Price and value for money, Brand name or reputation, Customer reviews or ratings, Recommendation from someone I trust",It is the best value for money,4,"Price and value for money, Product specifications or ingredients, Brand name or reputation",It is a trusted brand or widely recommended,5,"Price and value for money, Product specifications or ingredients",It makes me feel good or satisfied emotionally,5,"Price and value for money, Customer reviews or ratings, Brand name or reputation, Appearance or design, Product specifications or ingredients, Recommendation from someone I trust",It solves a specific practical problem,5,"Appearance or design, Customer reviews or ratings, Product specifications or ingredients",It makes me feel good or satisfied emotionally,4
5/17/2026 16:05,Male,35 – 44,Matale,Private sector employee,"Rs. 15,001 – Rs. 30,000",Several times a week,"Yes, strongly","Appearance or design, Price and value for money, Recommendation from someone I trust",It solves a specific practical problem,4,"Appearance or design, Brand name or reputation",It makes me feel good or satisfied emotionally,4,"Appearance or design, Recommendation from someone I trust, Price and value for money",It is a trusted brand or widely recommended,5,"Product specifications or ingredients, Recommendation from someone I trust, Price and value for money, Customer reviews or ratings",It is the best value for money,5,"Customer reviews or ratings, Product specifications or ingredients, Appearance or design",It solves a specific practical problem,1,"Brand name or reputation, Price and value for money, Product specifications or ingredients",It solves a specific practical problem,5,"Brand name or reputation, Price and value for money, Appearance or design",It makes me feel good or satisfied emotionally,4
5/31/2026 22:05,Female,25 – 34,Kilinochchi,Self-employed / Business owner,"Rs. 30,001 – Rs. 50,000",Once a week,Somewhat,"Appearance or design, Product specifications or ingredients, Brand name or reputation, Price and value for money",It is the best value for money,5,"Customer reviews or ratings, Appearance or design",It is a trusted brand or widely recommended,4,"Brand name or reputation, Price and value for money, Appearance or design, Customer reviews or ratings",It is the best value for money,2,"Price and value for money, Appearance or design, Customer reviews or ratings",It is the best value for money,1,"Product specifications or ingredients, Brand name or reputation",It solves a specific practical problem,5,"Price and value for money, Customer reviews or ratings, Appearance or design",It is the best value for money,3,"Product specifications or ingredients, Customer reviews or ratings, Brand name or reputation, Appearance or design, Price and value for money",It is the best value for money,5
5/30/2026 0:31,Female,25 – 34,Monaragala,Private sector employee,"Rs. 30,001 – Rs. 50,000",A few times a month,Somewhat,"Price and value for money, Product specifications or ingredients",It is the best value for money,3,"Product specifications or ingredients, Price and value for money, Brand name or reputation, Customer reviews or ratings, Appearance or design",It solves a specific practical problem,4,"Product specifications or ingredients, Brand name or reputation",It solves a specific practical problem,3,"Appearance or design, Recommendation from someone I trust",It is a trusted brand or widely recommended,1,"Brand name or reputation, Price and value for money",It is a trusted brand or widely recommended,4,"Appearance or design, Price and value for money, Brand name or reputation",It makes me feel good or satisfied emotionally,3,"Price and value for money, Recommendation from someone I trust, Customer reviews or ratings",It is the best value for money,4
6/1/2026 16:37,Prefer not to say,25 – 34,Mannar,Government employee,"Rs. 5,000 – Rs. 15,000",Once a month or less,"No, not at all","Appearance or design, Price and value for money, Brand name or reputation",It makes me feel good or satisfied emotionally,5,"Price and value for money, Product specifications or ingredients, Customer reviews or ratings, Recommendation from someone I trust",It makes me feel good or satisfied emotionally,3,"Product specifications or ingredients, Customer reviews or ratings, Brand name or reputation, Price and value for money",It solves a specific practical problem,1,"Product specifications or ingredients, Price and value for money, Appearance or design, Recommendation from someone I trust",It solves a specific practical problem,3,Product specifications or ingredients,It is the best value for money,4,"Appearance or design, Product specifications or ingredients, Customer reviews or ratings, Price and value for money, Recommendation from someone I trust, Brand name or reputation",It is a trusted brand or widely recommended,5,Customer reviews or ratings,It makes me feel good or satisfied emotionally,4
6/1/2026 3:34,Male,45 – 54,Vavuniya,Government employee,"Rs. 15,001 – Rs. 30,000",Once a month or less,"No, not at all","Price and value for money, Customer reviews or ratings, Recommendation from someone I trust, Appearance or design",It is a trusted brand or widely recommended,5,"Product specifications or ingredients, Appearance or design, Brand name or reputation, Recommendation from someone I trust, Price and value for money",It is the best value for money,3,"Customer reviews or ratings, Brand name or reputation",It solves a specific practical problem,2,"Customer reviews or ratings, Brand name or reputation, Recommendation from someone I trust, Appearance or design",It solves a specific practical problem,5,"Product specifications or ingredients, Brand name or reputation, Price and value for money, Customer reviews or ratings",It is the best value for money,5,Recommendation from someone I trust,It makes me feel good or satisfied emotionally,4,"Price and value for money, Customer reviews or ratings, Product specifications or ingredients, Appearance or design, Recommendation from someone I trust",It is a trusted brand or widely recommended,2
6/1/2026 17:39,Female,18 – 24,Puttalam,Private sector employee,"Rs. 30,001 – Rs. 50,000",A few times a month,Somewhat,"Recommendation from someone I trust, Customer reviews or ratings, Price and value for money, Product specifications or ingredients, Appearance or design",It is the best value for money,4,"Product specifications or ingredients, Customer reviews or ratings, Appearance or design, Price and value for money, Recommendation from someone I trust, Brand name or reputation",It is the best value for money,2,"Product specifications or ingredients, Brand name or reputation, Price and value for money",It is a trusted brand or widely recommended,1,"Customer reviews or ratings, Price and value for money, Appearance or design, Recommendation from someone I trust",It is a trusted brand or widely recommended,1,"Product specifications or ingredients, Brand name or reputation",It is a trusted brand or widely recommended,4,"Customer reviews or ratings, Product specifications or ingredients, Recommendation from someone I trust, Appearance or design",It makes me feel good or satisfied emotionally,4,"Appearance or design, Brand name or reputation, Price and value for money, Product specifications or ingredients",It is a trusted brand or widely recommended,5
6/1/2026 12:20,Female,25 – 34,Galle,Private sector employee,"Rs. 5,000 – Rs. 15,000",Several times a week,"Yes, strongly","Price and value for money, Appearance or design, Recommendation from someone I trust, Brand name or reputation",It solves a specific practical problem,4,"Customer reviews or ratings, Appearance or design",It is the best value for money,5,"Product specifications or ingredients, Appearance or design",It is the best value for money,3,Brand name or reputation,It solves a specific practical problem,4,"Customer reviews or ratings, Recommendation from someone I trust, Product specifications or ingredients",It is a trusted brand or widely recommended,4,"Brand name or reputation, Customer reviews or ratings, Price and value for money, Appearance or design",It solves a specific practical problem,2,"Appearance or design, Recommendation from someone I trust, Price and value for money",It makes me feel good or satisfied emotionally,4
5/31/2026 14:35,Male,35 – 44,Kegalle,Other,"Rs. 15,001 – Rs. 30,000",A few times a month,Somewhat,"Brand name or reputation, Product specifications or ingredients, Appearance or design, Price and value for money, Recommendation from someone I trust",It makes me feel good or satisfied emotionally,5,"Customer reviews or ratings, Price and value for money, Appearance or design, Product specifications or ingredients",It is the best value for money,5,"Price and value for money, Product specifications or ingredients, Customer reviews or ratings",It is a trusted brand or widely recommended,3,"Brand name or reputation, Price and value for money, Customer reviews or ratings, Recommendation from someone I trust",It solves a specific practical problem,3,"Product specifications or ingredients, Price and value for money",It solves a specific practical problem,4,"Price and value for money, Brand name or reputation",It is a trusted brand or widely recommended,4,"Brand name or reputation, Appearance or design, Product specifications or ingredients, Customer reviews or ratings",It makes me feel good or satisfied emotionally,1
5/23/2026 22:26,Female,25 – 34,Kalutara,Government employee,"Rs. 15,001 – Rs. 30,000",Once a month or less,"Yes, strongly","Brand name or reputation, Recommendation from someone I trust, Customer reviews or ratings",It solves a specific practical problem,5,"Appearance or design, Brand name or reputation, Recommendation from someone I trust",It is the best value for money,4,"Appearance or design, Customer reviews or ratings, Brand name or reputation",It is a trusted brand or widely recommended,3,"Customer reviews or ratings, Price and value for money, Appearance or design, Product specifications or ingredients",It makes me feel good or satisfied emotionally,4,"Brand name or reputation, Customer reviews or ratings, Product specifications or ingredients",It is the best value for money,4,"Recommendation from someone I trust, Product specifications or ingredients, Customer reviews or ratings",It solves a specific practical problem,3,"Recommendation from someone I trust, Customer reviews or ratings",It is a trusted brand or widely recommended,4
5/24/2026 20:37,Male,35 – 44,Vavuniya,Government employee,"More than Rs. 50,000",A few times a month,"No, not at all","Appearance or design, Price and value for money, Recommendation from someone I trust, Product specifications or ingredients, Customer reviews or ratings",It makes me feel good or satisfied emotionally,4,"Appearance or design, Product specifications or ingredients, Price and value for money",It makes me feel good or satisfied emotionally,3,Customer reviews or ratings,It solves a specific practical problem,4,"Recommendation from someone I trust, Customer reviews or ratings, Brand name or reputation",It solves a specific practical problem,4,"Product specifications or ingredients, Customer reviews or ratings",It is the best value for money,2,"Product specifications or ingredients, Price and value for money",It makes me feel good or satisfied emotionally,2,"Price and value for money, Product specifications or ingredients",It makes me feel good or satisfied emotionally,3
5/31/2026 9:13,Female,Under 18,Trincomalee,Student,"Rs. 5,000 – Rs. 15,000",Once a week,Somewhat,"Price and value for money, Appearance or design",It makes me feel good or satisfied emotionally,4,"Brand name or reputation, Customer reviews or ratings, Recommendation from someone I trust, Appearance or design",It makes me feel good or satisfied emotionally,4,Product specifications or ingredients,It solves a specific practical problem,4,"Brand name or reputation, Customer reviews or ratings, Price and value for money, Appearance or design, Recommendation from someone I trust",It makes me feel good or satisfied emotionally,1,"Brand name or reputation, Product specifications or ingredients, Recommendation from someone I trust, Price and value for money",It is a trusted brand or widely recommended,3,"Price and value for money, Appearance or design",It is a trusted brand or widely recommended,1,"Product specifications or ingredients, Price and value for money, Recommendation from someone I trust, Customer reviews or ratings",It is a trusted brand or widely recommended,3
5/26/2026 16:37,Male,35 – 44,Nuwara Eliya,Private sector employee,"Rs. 15,001 – Rs. 30,000",Once a week,Somewhat,"Appearance or design, Brand name or reputation, Product specifications or ingredients",It makes me feel good or satisfied emotionally,5,"Recommendation from someone I trust, Brand name or reputation, Appearance or design",It makes me feel good or satisfied emotionally,3,"Brand name or reputation, Appearance or design, Customer reviews or ratings",It is a trusted brand or widely recommended,3,"Brand name or reputation, Customer reviews or ratings, Recommendation from someone I trust, Price and value for money",It solves a specific practical problem,5,"Product specifications or ingredients, Price and value for money, Customer reviews or ratings, Brand name or reputation, Appearance or design",It solves a specific practical problem,4,"Price and value for money, Appearance or design, Brand name or reputation",It is a trusted brand or widely recommended,3,"Appearance or design, Brand name or reputation, Recommendation from someone I trust, Price and value for money, Product specifications or ingredients",It makes me feel good or satisfied emotionally,4
5/24/2026 22:36,Female,55 and above,Kalutara,Private sector employee,"Rs. 5,000 – Rs. 15,000",Several times a week,"No, not at all","Price and value for money, Appearance or design, Product specifications or ingredients, Recommendation from someone I trust, Customer reviews or ratings",It solves a specific practical problem,5,"Customer reviews or ratings, Product specifications or ingredients, Price and value for money",It makes me feel good or satisfied emotionally,5,"Recommendation from someone I trust, Price and value for money, Customer reviews or ratings, Product specifications or ingredients",It solves a specific practical problem,2,"Product specifications or ingredients, Recommendation from someone I trust, Brand name or reputation, Appearance or design",It solves a specific practical problem,4,"Brand name or reputation, Product specifications or ingredients",It is the best value for money,5,"Price and value for money, Brand name or reputation, Product specifications or ingredients",It makes me feel good or satisfied emotionally,4,"Customer reviews or ratings, Appearance or design, Price and value for money",It makes me feel good or satisfied emotionally,3
5/30/2026 21:34,Female,25 – 34,Hambantota,Government employee,"Rs. 5,000 – Rs. 15,000",Once a week,"No, not at all",Price and value for money,It makes me feel good or satisfied emotionally,3,"Price and value for money, Brand name or reputation",It solves a specific practical problem,4,Brand name or reputation,It solves a specific practical problem,1,"Price and value for money, Appearance or design",It is the best value for money,2,"Recommendation from someone I trust, Product specifications or ingredients, Customer reviews or ratings",It is a trusted brand or widely recommended,1,"Product specifications or ingredients, Appearance or design, Customer reviews or ratings, Recommendation from someone I trust",It solves a specific practical problem,5,"Brand name or reputation, Appearance or design, Price and value for money",It is a trusted brand or widely recommended,4
5/25/2026 7:52,Male,18 – 24,Hambantota,Private sector employee,"Rs. 15,001 – Rs. 30,000",Several times a week,Somewhat,"Product specifications or ingredients, Customer reviews or ratings, Brand name or reputation",It is the best value for money,5,"Recommendation from someone I trust, Appearance or design, Price and value for money, Brand name or reputation",It makes me feel good or satisfied emotionally,4,"Price and value for money, Product specifications or ingredients",It is a trusted brand or widely recommended,2,"Customer reviews or ratings, Product specifications or ingredients, Price and value for money, Appearance or design",It is the best value for money,3,"Customer reviews or ratings, Brand name or reputation",It solves a specific practical problem,4,"Product specifications or ingredients, Recommendation from someone I trust, Brand name or reputation, Appearance or design, Price and value for money",It makes me feel good or satisfied emotionally,4,"Customer reviews or ratings, Price and value for money",It solves a specific practical problem,4
5/26/2026 14:32,Male,45 – 54,Badulla,Self-employed / Business owner,"More than Rs. 50,000",Once a week,Somewhat,"Product specifications or ingredients, Brand name or reputation, Price and value for money, Customer reviews or ratings, Appearance or design",It solves a specific practical problem,5,Appearance or design,It solves a specific practical problem,5,"Brand name or reputation, Price and value for money, Appearance or design, Recommendation from someone I trust, Customer reviews or ratings, Product specifications or ingredients",It is the best value for money,3,Brand name or reputation,It is the best value for money,5,"Brand name or reputation, Product specifications or ingredients",It is the best value for money,3,"Product specifications or ingredients, Price and value for money, Customer reviews or ratings, Brand name or reputation, Recommendation from someone I trust",It solves a specific practical problem,5,"Price and value for money, Brand name or reputation",It solves a specific practical problem,4
5/22/2026 6:07,Male,18 – 24,Kegalle,Student,"Rs. 5,000 – Rs. 15,000",A few times a month,"No, not at all","Customer reviews or ratings, Product specifications or ingredients, Price and value for money, Recommendation from someone I trust",It is the best value for money,5,"Product specifications or ingredients, Price and value for money, Appearance or design, Recommendation from someone I trust, Brand name or reputation",It is the best value for money,4,"Brand name or reputation, Product specifications or ingredients, Customer reviews or ratings, Price and value for money, Appearance or design",It solves a specific practical problem,4,"Customer reviews or ratings, Brand name or reputation, Price and value for money",It is the best value for money,2,"Appearance or design, Brand name or reputation",It is a trusted brand or widely recommended,3,"Price and value for money, Brand name or reputation",It solves a specific practical problem,4,"Brand name or reputation, Product specifications or ingredients, Appearance or design",It is a trusted brand or widely recommended,4
5/20/2026 8:55,Male,35 – 44,Mullaitivu,Private sector employee,"More than Rs. 50,000",A few times a month,"No, not at all","Customer reviews or ratings, Price and value for money",It makes me feel good or satisfied emotionally,4,"Customer reviews or ratings, Recommendation from someone I trust, Brand name or reputation, Appearance or design, Price and value for money",It makes me feel good or satisfied emotionally,2,"Customer reviews or ratings, Brand name or reputation, Product specifications or ingredients, Appearance or design, Recommendation from someone I trust",It solves a specific practical problem,3,"Recommendation from someone I trust, Price and value for money, Brand name or reputation",It is a trusted brand or widely recommended,2,"Customer reviews or ratings, Product specifications or ingredients, Price and value for money, Recommendation from someone I trust, Brand name or reputation",It makes me feel good or satisfied emotionally,1,"Brand name or reputation, Product specifications or ingredients, Customer reviews or ratings, Price and value for money, Appearance or design",It is a trusted brand or widely recommended,3,"Brand name or reputation, Price and value for money, Customer reviews or ratings",It makes me feel good or satisfied emotionally,4
5/30/2026 9:50,Male,18 – 24,Ratnapura,Private sector employee,"Rs. 15,001 – Rs. 30,000",Once a week,"No, not at all","Brand name or reputation, Price and value for money, Customer reviews or ratings",It is a trusted brand or widely recommended,3,Recommendation from someone I trust,It is the best value for money,5,"Customer reviews or ratings, Price and value for money",It solves a specific practical problem,5,"Customer reviews or ratings, Price and value for money",It is a trusted brand or widely recommended,1,"Recommendation from someone I trust, Customer reviews or ratings, Product specifications or ingredients",It solves a specific practical problem,5,"Price and value for money, Product specifications or ingredients, Brand name or reputation, Appearance or design, Recommendation from someone I trust, Customer reviews or ratings",It solves a specific practical problem,4,"Appearance or design, Brand name or reputation, Product specifications or ingredients, Recommendation from someone I trust, Customer reviews or ratings",It makes me feel good or satisfied emotionally,4
5/23/2026 12:31,Male,18 – 24,Mullaitivu,Student,"Rs. 5,000 – Rs. 15,000",Once a month or less,Somewhat,"Recommendation from someone I trust, Price and value for money",It is the best value for money,4,"Brand name or reputation, Appearance or design, Product specifications or ingredients, Price and value for money",It makes me feel good or satisfied emotionally,3,"Product specifications or ingredients, Price and value for money, Customer reviews or ratings",It is a trusted brand or widely recommended,3,"Customer reviews or ratings, Price and value for money, Product specifications or ingredients",It is a trusted brand or widely recommended,3,"Recommendation from someone I trust, Price and value for money, Customer reviews or ratings, Product specifications or ingredients",It is a trusted brand or widely recommended,1,"Appearance or design, Customer reviews or ratings",It solves a specific practical problem,4,"Product specifications or ingredients, Price and value for money",It makes me feel good or satisfied emotionally,5
5/31/2026 0:01,Male,18 – 24,Mullaitivu,Self-employed / Business owner,"Rs. 30,001 – Rs. 50,000",Once a month or less,"Yes, strongly","Price and value for money, Brand name or reputation, Appearance or design, Customer reviews or ratings",It makes me feel good or satisfied emotionally,2,"Recommendation from someone I trust, Product specifications or ingredients, Price and value for money",It is a trusted brand or widely recommended,3,"Recommendation from someone I trust, Brand name or reputation, Product specifications or ingredients",It is the best value for money,3,"Product specifications or ingredients, Price and value for money",It solves a specific practical problem,4,"Product specifications or ingredients, Price and value for money",It is the best value for money,5,"Price and value for money, Brand name or reputation, Product specifications or ingredients, Appearance or design, Customer reviews or ratings",It makes me feel good or satisfied emotionally,2,"Appearance or design, Customer reviews or ratings, Product specifications or ingredients, Brand name or reputation",It makes me feel good or satisfied emotionally,4
5/28/2026 18:21,Male,35 – 44,Kegalle,Homemaker,"Rs. 5,000 – Rs. 15,000",Once a week,"Yes, strongly","Appearance or design, Product specifications or ingredients, Brand name or reputation, Price and value for money",It makes me feel good or satisfied emotionally,4,"Customer reviews or ratings, Product specifications or ingredients, Recommendation from someone I trust",It solves a specific practical problem,5,"Brand name or reputation, Price and value for money, Product specifications or ingredients",It solves a specific practical problem,2,"Price and value for money, Customer reviews or ratings",It solves a specific practical problem,3,"Product specifications or ingredients, Brand name or reputation, Customer reviews or ratings",It is the best value for money,4,"Customer reviews or ratings, Appearance or design, Product specifications or ingredients",It is a trusted brand or widely recommended,5,"Brand name or reputation, Price and value for money, Appearance or design, Customer reviews or ratings",It solves a specific practical problem,2
5/25/2026 17:45,Male,Under 18,Kegalle,Student,"Less than Rs. 5,000",Once a month or less,Somewhat,"Price and value for money, Brand name or reputation, Appearance or design, Product specifications or ingredients, Customer reviews or ratings",It is the best value for money,4,"Price and value for money, Product specifications or ingredients, Appearance or design",It is the best value for money,5,"Customer reviews or ratings, Product specifications or ingredients, Appearance or design, Price and value for money, Recommendation from someone I trust, Brand name or reputation",It solves a specific practical problem,1,"Brand name or reputation, Customer reviews or ratings, Appearance or design, Product specifications or ingredients",It solves a specific practical problem,3,"Product specifications or ingredients, Price and value for money, Recommendation from someone I trust",It solves a specific practical problem,3,"Price and value for money, Appearance or design, Product specifications or ingredients",It solves a specific practical problem,1,"Appearance or design, Product specifications or ingredients, Brand name or reputation",It is the best value for money,4
6/6/2026 0:43,Female,35 – 44,Ampara,Other,"Less than Rs. 5,000",Several times a week,Somewhat,"Price and value for money, Brand name or reputation",It makes me feel good or satisfied emotionally,4,"Product specifications or ingredients, Customer reviews or ratings, Brand name or reputation",It makes me feel good or satisfied emotionally,5,"Product specifications or ingredients, Brand name or reputation",It is a trusted brand or widely recommended,4,"Product specifications or ingredients, Price and value for money, Customer reviews or ratings",It solves a specific practical problem,4,Brand name or reputation,It is a trusted brand or widely recommended,5,"Customer reviews or ratings, Recommendation from someone I trust",It makes me feel good or satisfied emotionally,4,"Brand name or reputation, Customer reviews or ratings, Price and value for money, Recommendation from someone I trust, Product specifications or ingredients",It is the best value for money,3
5/31/2026 5:34,Male,18 – 24,Kandy,Student,"Rs. 15,001 – Rs. 30,000",Several times a week,"No, not at all","Brand name or reputation, Appearance or design",It makes me feel good or satisfied emotionally,5,"Appearance or design, Brand name or reputation",It is a trusted brand or widely recommended,4,"Customer reviews or ratings, Price and value for money, Recommendation from someone I trust",It solves a specific practical problem,4,"Price and value for money, Recommendation from someone I trust, Product specifications or ingredients",It is the best value for money,4,"Customer reviews or ratings, Product specifications or ingredients, Appearance or design, Recommendation from someone I trust",It is the best value for money,1,"Product specifications or ingredients, Customer reviews or ratings, Appearance or design, Brand name or reputation",It makes me feel good or satisfied emotionally,4,"Customer reviews or ratings, Product specifications or ingredients, Appearance or design, Brand name or reputation, Recommendation from someone I trust",It solves a specific practical problem,4
5/25/2026 2:30,Female,18 – 24,Gampaha,Student,"Rs. 5,000 – Rs. 15,000",Once a month or less,Somewhat,"Recommendation from someone I trust, Price and value for money, Appearance or design",It is a trusted brand or widely recommended,4,"Product specifications or ingredients, Brand name or reputation",It is the best value for money,1,"Brand name or reputation, Price and value for money",It solves a specific practical problem,3,"Product specifications or ingredients, Appearance or design",It solves a specific practical problem,4,"Brand name or reputation, Customer reviews or ratings, Product specifications or ingredients, Price and value for money",It solves a specific practical problem,4,"Brand name or reputation, Recommendation from someone I trust, Price and value for money",It solves a specific practical problem,3,Price and value for money,It solves a specific practical problem,5
5/27/2026 1:47,Male,25 – 34,Puttalam,Private sector employee,"Rs. 15,001 – Rs. 30,000",Once a week,Somewhat,"Product specifications or ingredients, Price and value for money, Appearance or design",It solves a specific practical problem,4,"Brand name or reputation, Customer reviews or ratings, Product specifications or ingredients",It is a trusted brand or widely recommended,5,"Customer reviews or ratings, Price and value for money, Appearance or design, Product specifications or ingredients, Brand name or reputation",It makes me feel good or satisfied emotionally,3,"Price and value for money, Customer reviews or ratings, Recommendation from someone I trust",It is a trusted brand or widely recommended,3,"Brand name or reputation, Price and value for money, Product specifications or ingredients, Recommendation from someone I trust, Customer reviews or ratings, Appearance or design",It is the best value for money,5,"Brand name or reputation, Product specifications or ingredients, Appearance or design, Customer reviews or ratings",It solves a specific practical problem,5,"Appearance or design, Product specifications or ingredients",It solves a specific practical problem,4
5/29/2026 12:27,Female,35 – 44,Jaffna,Private sector employee,"Rs. 5,000 – Rs. 15,000",Several times a week,"No, not at all","Recommendation from someone I trust, Customer reviews or ratings, Price and value for money",It is a trusted brand or widely recommended,5,"Brand name or reputation, Price and value for money, Customer reviews or ratings",It is a trusted brand or widely recommended,5,"Brand name or reputation, Price and value for money",It is a trusted brand or widely recommended,4,"Brand name or reputation, Price and value for money",It is a trusted brand or widely recommended,3,"Customer reviews or ratings, Product specifications or ingredients",It makes me feel good or satisfied emotionally,5,"Price and value for money, Brand name or reputation, Product specifications or ingredients, Recommendation from someone I trust",It is a trusted brand or widely recommended,5,"Appearance or design, Price and value for money",It solves a specific practical problem,4
5/26/2026 18:08,Female,18 – 24,Hambantota,Private sector employee,"More than Rs. 50,000",Once a month or less,"Yes, strongly","Appearance or design, Recommendation from someone I trust, Price and value for money, Brand name or reputation, Product specifications or ingredients",It makes me feel good or satisfied emotionally,5,Product specifications or ingredients,It makes me feel good or satisfied emotionally,2,"Price and value for money, Product specifications or ingredients, Customer reviews or ratings",It solves a specific practical problem,2,"Product specifications or ingredients, Price and value for money, Customer reviews or ratings, Brand name or reputation",It makes me feel good or satisfied emotionally,5,"Product specifications or ingredients, Recommendation from someone I trust, Appearance or design, Brand name or reputation",It makes me feel good or satisfied emotionally,4,"Product specifications or ingredients, Brand name or reputation, Customer reviews or ratings, Price and value for money, Recommendation from someone I trust",It solves a specific practical problem,2,"Customer reviews or ratings, Recommendation from someone I trust",It is the best value for money,4
5/27/2026 23:44,Female,25 – 34,Mullaitivu,Homemaker,"Less than Rs. 5,000",Once a week,"No, not at all","Price and value for money, Appearance or design, Product specifications or ingredients, Brand name or reputation",It makes me feel good or satisfied emotionally,4,"Product specifications or ingredients, Price and value for money, Brand name or reputation, Recommendation from someone I trust, Customer reviews or ratings",It is the best value for money,3,Price and value for money,It is the best value for money,5,"Price and value for money, Recommendation from someone I trust, Brand name or reputation, Product specifications or ingredients",It is a trusted brand or widely recommended,3,"Recommendation from someone I trust, Customer reviews or ratings, Price and value for money, Product specifications or ingredients",It is the best value for money,3,"Price and value for money, Brand name or reputation",It makes me feel good or satisfied emotionally,4,"Recommendation from someone I trust, Brand name or reputation, Customer reviews or ratings",It makes me feel good or satisfied emotionally,4
5/30/2026 5:07,Female,35 – 44,Kilinochchi,Government employee,"Rs. 30,001 – Rs. 50,000",Once a week,"No, not at all",Price and value for money,It is a trusted brand or widely recommended,5,"Customer reviews or ratings, Brand name or reputation",It is a trusted brand or widely recommended,5,"Product specifications or ingredients, Appearance or design, Recommendation from someone I trust, Customer reviews or ratings, Price and value for money, Brand name or reputation",It makes me feel good or satisfied emotionally,1,"Customer reviews or ratings, Price and value for money, Product specifications or ingredients",It is the best value for money,4,"Price and value for money, Recommendation from someone I trust",It solves a specific practical problem,4,"Recommendation from someone I trust, Customer reviews or ratings, Brand name or reputation, Price and value for money",It solves a specific practical problem,3,"Price and value for money, Brand name or reputation",It is a trusted brand or widely recommended,2
5/29/2026 6:17,Female,25 – 34,Badulla,Private sector employee,"Rs. 5,000 – Rs. 15,000",Several times a week,"Yes, strongly","Price and value for money, Brand name or reputation, Appearance or design",It is the best value for money,2,"Product specifications or ingredients, Appearance or design",It solves a specific practical problem,4,"Customer reviews or ratings, Appearance or design, Price and value for money, Product specifications or ingredients",It makes me feel good or satisfied emotionally,3,"Price and value for money, Brand name or reputation, Appearance or design, Product specifications or ingredients, Recommendation from someone I trust",It solves a specific practical problem,2,"Product specifications or ingredients, Appearance or design",It solves a specific practical problem,5,"Customer reviews or ratings, Price and value for money",It makes me feel good or satisfied emotionally,5,"Recommendation from someone I trust, Brand name or reputation",It makes me feel good or satisfied emotionally,4
